description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] POS DEBIT HILTON GARDEN INN U2LAMH,1047.76,debit,Travel,Transportation,HILTON GARDEN INN,True
[debit] SQ *CARIBOU COFFEE INDIANAPOL IN,14.35,debit,Coffee,Food & Drink,CARIBOU COFFEE,True
[debit] POS DEBIT AMC ONLINE AH6T9U,172.32,debit,Entertainment,Entertainment,AMC ONLINE,True
[debit] WILLOW CREEK APTS ATLANTA GA,981.7,debit,Rent,Bills & Housing,WILLOW CREEK APTS,True
[debit] PURCHASE LYFT RIDE DENVER COUS,27.44,debit,Rideshare,Transportation,LYFT RIDE,True
[debit] TOPGOLF*2DE3EG,37.11,debit,Entertainment,Entertainment,TOPGOLF,True
[debit] SQ *WALMART SUPERCENTER INDIANAPOL IN,6.04,debit,Shopping,Shopping,WALMART SUPERCENTER,True
[debit] PURCHASE CASEYS GEN STORE INDIANAPOLIS INUS,79.63,debit,Gas,Transportation,CASEYS GEN STORE,True
[debit] HERTZ RENT A CAR INDIANAPOLIS IN,413.56,debit,Travel,Transportation,HERTZ RENT A CAR,True
[debit] PURCHASE EDX INC SEATTLE WAUS,821.97,debit,Education,Bills & Housing,EDX INC,True
[debit] AT&T MOBILITY SEATTLE WA,88.9,debit,Utilities,Bills & Housing,AT&T MOBILITY,True
[debit] POS DEBIT TARGET NZ45U0,70.51,debit,Groceries,Food & Drink,TARGET,True
[debit] WALGREENS #1489 ATLANTA GA,494.59,debit,Healthcare,Health & Wellness,WALGREENS,True
[debit] SQ *BEST BUY SEATTLE WA,367.66,debit,Shopping,Shopping,BEST BUY,True
[debit] LYFT RIDE SEATTLE WA,27.17,debit,Rideshare,Transportation,LYFT RIDE,True
[credit] STRIPE TRANSFER DES:DEPOSIT ID:9W6G6E45A6 INDN:CARDHOLDER,323.85,credit,Income,Income,STRIPE TRANSFER,True
[debit] UNIV BOOKSTORE DES:DIRECT DEP ID:7UXAN0PXNM INDN:CARDHOLDER,432.99,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[debit] AMZN MKTP US #9226 SEATTLE WA,231.37,debit,Shopping,Shopping,AMZN MKTP US,True
[debit] POS DEBIT LIME RIDE 55AE47,9.73,debit,Rideshare,Transportation,LIME RIDE,True
[debit] DATACAMP DES:BILLPAY ID:1V6XR466Y5 INDN:CARDHOLDER,371.74,debit,Education,Bills & Housing,DATACAMP,True
[debit] ANYTIME FITNESS DES:ACH PMT ID:ZDZ0NZP9U6 INDN:CARDHOLDER,25.33,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[debit] MCGRAW HILL DES:DEPOSIT ID:96F4VMA6ZM INDN:CARDHOLDER,1618.64,debit,Education,Bills & Housing,MCGRAW HILL,True
[debit] BIRD RIDES #5107 PHOENIX AZ,7.84,debit,Rideshare,Transportation,BIRD RIDES,True
[debit] SPECTRUM*48AEPV7,244.37,debit,Utilities,Bills & Housing,SPECTRUM,True
[debit] COURSERA INC DES:DIRECT DEP ID:CQEWX1DRUU INDN:CARDHOLDER,291.37,debit,Education,Bills & Housing,COURSERA INC,True
[debit] POS DEBIT NOODLES AND CO DSCHDV,78.48,debit,Dining,Food & Drink,NOODLES AND CO,True
[credit] POS DEBIT ETSY PAYOUT XW9681,218.1,credit,Income,Income,ETSY PAYOUT,True
[debit] APPLE.COM/BILL DES:BILLPAY ID:KB09EVVH84 INDN:CARDHOLDER,22.3,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[credit] APPLE CASH TRANSFER DES:BILLPAY ID:XHU88WBLPU INDN:CARDHOLDER,2979.49,credit,Income,Income,APPLE CASH TRANSFER,True
[debit] HOME DEPOT #3872 CHICAGO IL,361.83,debit,Shopping,Shopping,HOME DEPOT,True
[debit] SPOTIFY USA DES:DIRECT DEP ID:BA5UX476UH INDN:CARDHOLDER,21.3,debit,Subscriptions,Entertainment,SPOTIFY USA,True
[credit] PURCHASE DIRECT DEP PAYROLL INDIANAPOLIS INUS,1706.49,credit,Income,Income,DIRECT DEP PAYROLL,True
[debit] PLANET FITNESS DES:DIRECT DEP ID:2DKGGMZ58Y INDN:CARDHOLDER,157.12,debit,Fitness,Health & Wellness,PLANET FITNESS,True
[debit] ORANGETHEORY DES:BILLPAY ID:WT16PXMMG4 INDN:CARDHOLDER,80.28,debit,Fitness,Health & Wellness,ORANGETHEORY,True
[debit] POS DEBIT LIME RIDE NKRBCS,32.11,debit,Rideshare,Transportation,LIME RIDE,True
[debit] SPEEDWAY INDIANAPOLIS IN,23.37,debit,Gas,Transportation,SPEEDWAY,True
[debit] GRUBHUB #8392 BROOKLYN NY,16.81,debit,Dining,Food & Drink,GRUBHUB,True
[debit] POS DEBIT YMCA MEMBERSHIP 2HV8AS,150.09,debit,Fitness,Health & Wellness,YMCA MEMBERSHIP,True
[debit] CASEYS GEN STORE #331 ATLANTA GA,71.55,debit,Gas,Transportation,CASEYS GEN STORE,True
[debit] SQ *LYFT RIDE AUSTIN TX,59.74,debit,Rideshare,Transportation,LYFT RIDE,True
[debit] GOOGLE FIBER*2J9QWW6GUM,39.77,debit,Utilities,Bills & Housing,GOOGLE FIBER,True
[debit] CASH APP TRANSFER*15CR43P,58.9,debit,Transfer,Transfers & Fees,CASH APP TRANSFER,True
[credit] APPLE.COM/BILL AUSTIN TX,27.36,credit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] ICLOUD STORAGE DES:ACH PMT ID:400J3MPRXR INDN:CARDHOLDER,45.11,debit,Subscriptions,Entertainment,ICLOUD STORAGE,True
[debit] POS DEBIT TIM HORTONS 313KFY,19.91,debit,Coffee,Food & Drink,TIM HORTONS,True
[credit] APPLE.COM/BILL*ZZBTXR7Z,402.19,credit,Shopping,Shopping,APPLE.COM/BILL,True
[debit] POS DEBIT SPEEDWAY 3GS1JC,55.34,debit,Gas,Transportation,SPEEDWAY,True
[debit] HOME DEPOT #1831 NASHVILLE TN,217.04,debit,Shopping,Shopping,HOME DEPOT,True
[debit] POS DEBIT OLIVE GARDEN Z9S65P,24.99,debit,Dining,Food & Drink,OLIVE GARDEN,True
[debit] POS DEBIT SAMS CLUB ZNJJT0,235.07,debit,Shopping,Shopping,SAMS CLUB,True
[debit] SQ *SPEEDWAY AUSTIN TX,55.9,debit,Gas,Transportation,SPEEDWAY,True
[debit] TST* GREYHOUSE #3382 WEST LAFAYETTE IN,5.09,debit,Coffee,Food & Drink,TST* GREYHOUSE,True
[debit] SQ *LYFT RIDE SAN FRANCI CA,61.48,debit,Rideshare,Transportation,LYFT RIDE,True
[debit] GITHUB INC DES:PAYMENT ID:UCGTVELVXL INDN:CARDHOLDER,59.67,debit,Subscriptions,Entertainment,GITHUB INC,True
[debit] SQ *CASH APP TRANSFER PHOENIX AZ,723.24,debit,Transfer,Transfers & Fees,CASH APP TRANSFER,True
[debit] PURCHASE REGAL CINEMAS INDIANAPOLIS INUS,55.34,debit,Entertainment,Entertainment,REGAL CINEMAS,True
[debit] PURCHASE ETSY.COM SEATTLE WAUS,119.45,debit,Shopping,Shopping,ETSY.COM,True
[debit] GITHUB INC*2XECPUND,16.99,debit,Subscriptions,Entertainment,GITHUB INC,True
[debit] UNIV BOOKSTORE DES:ACH PMT ID:V20XEMN6F5 INDN:CARDHOLDER,927.51,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[debit] PURCHASE TST* THE BLUE DOOR DENVER COUS,28.68,debit,Dining,Food & Drink,TST* THE BLUE DOOR,True
[debit] WALMART SUPERCENTER #8076 DENVER CO,107.34,debit,Shopping,Shopping,WALMART SUPERCENTER,True
[debit] STEAMGAMES.COM SEATTLE WA,167.89,debit,Entertainment,Entertainment,STEAMGAMES.COM,True
[debit] UNIV BOOKSTORE*H927M2,1583.6,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[debit] PAYPAL *NOODLESANDCO,39.73,debit,Dining,Food & Drink,NOODLES AND CO,True
[debit] WHOLE FOODS MKT*6G44WEVC,77.3,debit,Groceries,Food & Drink,WHOLE FOODS MKT,True
[credit] PURCHASE PROGRESS RESIDENTIAL ATLANTA GAUS,2034.95,credit,Rent,Bills & Housing,PROGRESS RESIDENTIAL,True
[debit] MCGRAW HILL DES:PAYMENT ID:NKFRFEB5ZM INDN:CARDHOLDER,1493.39,debit,Education,Bills & Housing,MCGRAW HILL,True
[debit] POS DEBIT ZELLE PAYMENT 5MEW0C,874.19,debit,Transfer,Transfers & Fees,ZELLE PAYMENT,True
[debit] SQ *LIVE NATION PHOENIX AZ,141.33,debit,Entertainment,Entertainment,LIVE NATION,True
[credit] PURCHASE ETSY PAYOUT WEST LAFAYETTE INUS,2905.13,credit,Income,Income,ETSY PAYOUT,True
[debit] SQ *MACYS PHOENIX AZ,122.35,debit,Shopping,Shopping,MACYS,True
