description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] XBOX GAME PASS #2277 SAN FRANCISCO CA,60.11,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] PURCHASE CLASSPASS SAN FRANCISCO CAUS,104.43,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] UBER EATS*G4336MQ,16.65,debit,Dining,Food & Drink,UBER EATS,False
[credit] STATE OF IN PAYROLL DES:BILLPAY ID:BQJL8TY2SV INDN:CARDHOLDER,487.49,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] POS DEBIT SHELL OIL Z9PZM6,56.81,debit,Gas,Transportation,SHELL OIL,False
[debit] CHEGG ORDER NASHVILLE TN,1038.85,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] ASPEN DENTAL*85MK48VYD,118.08,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] BIGGBY COFFEE #8231 ATLANTA GA,12.79,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] PAYPAL *SQ*TACOCASA,89.3,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] CTA VENTRA SEATTLE WA,30.11,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] DELTA AIR LINES*W7VLBVUG7,141.46,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] AMAZON WEB SERVICES DES:DEPOSIT ID:2WNHQQV2ZJ INDN:CARDHOLDER,22.03,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] LOWES*BTTM5C4P,82.45,debit,Shopping,Shopping,LOWES,False
[debit] PURCHASE CLASSPASS PHOENIX AZUS,154.97,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] PAYPAL *EVENTBRITE,98.1,debit,Entertainment,Entertainment,EVENTBRITE,False
[credit] LINCOLN PROP CO*PNM36Z7XAR,1150.4,credit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PURCHASE UBER TRIP DENVER COUS,16.1,debit,Rideshare,Transportation,UBER TRIP,False
[debit] CLASSPASS*JEHGLF8G,41.59,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] ONE MEDICAL ATLANTA GA,426.09,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] POS DEBIT UBER TRIP 32GYWL,33.14,debit,Rideshare,Transportation,UBER TRIP,False
[debit] PURCHASE SUNOCO SEATTLE WAUS,29.79,debit,Gas,Transportation,SUNOCO,False
[debit] PAYPAL *DELTAAIRLINES,873.85,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] AVALON COMMUNITIES*YAWWX2WT,1565.36,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] CLASSPASS SAN FRANCISCO CA,71.43,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] EVENTBRITE*X3UK46JTSQ,100.01,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] UBER TRIP*2GK6921EWN,43.75,debit,Rideshare,Transportation,UBER TRIP,False
[debit] UBER TRIP*2WSP3HU5,30.49,debit,Rideshare,Transportation,UBER TRIP,False
[debit] UBER TRIP*DZ77C0,49.94,debit,Rideshare,Transportation,UBER TRIP,False
