description,true_category,predicted_category,merchant
[debit] POS DEBIT WALGREENS B3M8FW,Shopping,Healthcare,WALGREENS
[debit] WALMART SUPERCENTER*SBDLPGYD,Shopping,Groceries,WALMART SUPERCENTER
[debit] APPLE.COM/BILL #4324 ATLANTA GA,Shopping,Subscriptions,APPLE.COM/BILL
[debit] APPLE.COM/BILL #9331 INDIANAPOLIS IN,Shopping,Subscriptions,APPLE.COM/BILL
[debit] POS DEBIT TARGET W7B3NA,Shopping,Groceries,TARGET
[debit] SAMS CLUB*QRUPEBY,Shopping,Groceries,SAMS CLUB
[debit] TARGET*4LFKQ8T,Shopping,Groceries,TARGET
[debit] SAMS CLUB*3UGWRPC4,Shopping,Groceries,SAMS CLUB
[debit] WALGREENS #335 ATLANTA GA,Shopping,Healthcare,WALGREENS
[debit] COSTCO WHSE*8DMQ9C,Groceries,Gas,COSTCO WHSE
[debit] COSTCO WHSE NASHVILLE TN,Gas,Groceries,COSTCO WHSE
[debit] APPLE.COM/BILL #4312 ATLANTA GA,Shopping,Subscriptions,APPLE.COM/BILL
[debit] WALGREENS #7548 DENVER CO,Shopping,Healthcare,WALGREENS
[debit] POS DEBIT WALGREENS A4L6EK,Shopping,Healthcare,WALGREENS
[debit] COSTCO WHSE #3680 ATLANTA GA,Groceries,Gas,COSTCO WHSE
[debit] APPLE.COM/BILL #6658 ATLANTA GA,Shopping,Subscriptions,APPLE.COM/BILL
[debit] POS DEBIT WALGREENS 128SAX,Shopping,Healthcare,WALGREENS
[debit] SPEEDWAY*YYTQN51ASM,Groceries,Gas,SPEEDWAY
[debit] PURCHASE COSTCO WHSE CHICAGO ILUS,Groceries,Gas,COSTCO WHSE
[debit] POS DEBIT COSTCO WHSE JXYZ28,Shopping,Groceries,COSTCO WHSE
[debit] APPLE.COM/BILL*K0CL5W682,Shopping,Subscriptions,APPLE.COM/BILL
[debit] PURCHASE APPLE.COM/BILL ATLANTA GAUS,Shopping,Subscriptions,APPLE.COM/BILL
[debit] WALMART SUPERCENTER*RMC4LV8,Shopping,Groceries,WALMART SUPERCENTER
[debit] SAMS CLUB*S1B0NTM2,Shopping,Groceries,SAMS CLUB
[debit] APPLE.COM/BILL WEST LAFAYETTE IN,Subscriptions,Shopping,APPLE.COM/BILL
[debit] PURCHASE APPLE.COM/BILL SAN FRANCISCO CAUS,Shopping,Subscriptions,APPLE.COM/BILL
[debit] SAMS CLUB SAN FRANCISCO CA,Shopping,Groceries,SAMS CLUB
[debit] POS DEBIT WALGREENS YW89JP,Shopping,Healthcare,WALGREENS
[debit] POS DEBIT WALGREENS XR8MEM,Shopping,Healthcare,WALGREENS
[debit] SAMS CLUB #2532 DENVER CO,Shopping,Groceries,SAMS CLUB
[debit] SAMS CLUB AUSTIN TX,Shopping,Groceries,SAMS CLUB
[debit] COSTCO WHSE*L2BRCJLJ8C,Groceries,Gas,COSTCO WHSE
[debit] POS DEBIT WALMART SUPERCENTER 32DWS8,Shopping,Groceries,WALMART SUPERCENTER
[debit] WALMART SUPERCENTER*4JBGDC2R,Shopping,Groceries,WALMART SUPERCENTER
[debit] COSTCO WHSE #1395 SEATTLE WA,Gas,Groceries,COSTCO WHSE
[debit] COSTCO WHSE*N6KK3L8,Shopping,Gas,COSTCO WHSE
[debit] TARGET*7VB0L8L,Shopping,Groceries,TARGET
[debit] SQ *APPLE.COM/BILL DENVER CO,Shopping,Subscriptions,APPLE.COM/BILL
[debit] POS DEBIT TARGET QEPV7X,Shopping,Groceries,TARGET
[debit] POS DEBIT WALMART SUPERCENTER CBU2SY,Shopping,Groceries,WALMART SUPERCENTER
[debit] PURCHASE WALMART SUPERCENTER SEATTLE WAUS,Groceries,Shopping,WALMART SUPERCENTER
[debit] SAMS CLUB #7037 COLUMBUS OH,Shopping,Groceries,SAMS CLUB
[debit] COSTCO WHSE*0W8B3E4J,Shopping,Gas,COSTCO WHSE
[debit] SAMS CLUB*7PWA6FD7M,Shopping,Groceries,SAMS CLUB
[debit] POS DEBIT APPLE.COM/BILL BFB4QM,Shopping,Subscriptions,APPLE.COM/BILL
[debit] SAMS CLUB*D5WFRHS0,Shopping,Groceries,SAMS CLUB
[debit] SQ *COSTCO WHSE BROOKLYN NY,Groceries,Shopping,COSTCO WHSE
[debit] SQ *SAMS CLUB NASHVILLE TN,Groceries,Shopping,SAMS CLUB
[debit] COSTCO WHSE*L73JV07H,Groceries,Gas,COSTCO WHSE
[debit] POS DEBIT WALGREENS GAYQGC,Shopping,Healthcare,WALGREENS
[debit] SAMS CLUB*7TZCD84H,Shopping,Groceries,SAMS CLUB
[debit] POS DEBIT SAMS CLUB DJZBFZ,Shopping,Groceries,SAMS CLUB
[debit] APPLE.COM/BILL*6F7XNKJ7,Shopping,Subscriptions,APPLE.COM/BILL
[debit] WALGREENS*XX602PRX,Shopping,Healthcare,WALGREENS
[debit] TARGET*1GAQ42,Shopping,Groceries,TARGET
[debit] SQ *WALGREENS NASHVILLE TN,Shopping,Healthcare,WALGREENS
[debit] SAMS CLUB #9109 SAN FRANCISCO CA,Shopping,Groceries,SAMS CLUB
[debit] SAMS CLUB #7694 ATLANTA GA,Shopping,Groceries,SAMS CLUB
[credit] PAYPAL *COSTCOWHSE,Groceries,Gas,COSTCO WHSE
[debit] SPEEDWAY*HXL5SMA,Groceries,Gas,SPEEDWAY
